Label Index,EAN Code,GS1 Code,Barcode Encoded,QR Encoded,Product Name,Product Category,Product Desc,MRP,Contact,Image URL
1,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12001,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
2,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12002,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
3,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12003,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
4,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12004,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
5,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12005,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
6,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12006,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
7,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12007,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
8,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12008,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
9,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12009,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
10,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12010,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
11,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12011,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
12,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12012,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
13,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12013,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
14,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12014,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
15,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12015,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
16,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12016,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
17,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12017,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
18,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12018,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
19,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12019,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
20,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12020,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
21,8.90761E+11,SHGS12,890761239999SHGS12,890761239999SHGS12021,ARROW MENS SHIRT,NYLON SHIRT,MENS CHEQUERED FORMAL SHIRT,₹1999,"+911234567890, test@123.com",https://cdn06.nnnow.com/web-images/medium/styles/0MFT5QABBM8/1764573200329/1.jpg
